tournament_id,tournament_name,season,start,end,goals_coefficient,assists_coefficient,wins_coefficient,draws_coefficient,saves_coefficient,foul_coefficient
1,Барышиха,Весна 2025,2025-03-01,2025-05-31,1,1,2,1,1,-2
2,Барышиха,Лето 2025,2025-06-01,2025-08-31,1,1,2,1,1,-2
3,Барышиха,Осень 2025,2025-09-01,2025-11-30,1,1,2,1,1,-2
4,УПК,Осень 2025,2025-09-01,2025-11-30,1,1,2,1,1,-2
5,УПК,Зима 2025-26,2025-12-01,2026-02-28,1,1,2,1,1,-2
6,УПК,Весна 2026,2026-03-01,2026-05-31,1,1,2,1,1,-2
7,УПК,Лето 2026,2026-06-21,2026-08-31,1,1,2,1,1,-2
